'bi'kang'de 鼻康德
'shang'feng'zhi'ke'tang'jiang 伤风止咳糖浆
'zi'yin'qing'zao'tang 滋阴清燥汤
'zi'yin'qing'zao'shang 滋阴清燥汤
'kou'dan'wu'wei 口淡无味
'she'yin'tang 摄阴汤
'nie'yin'tang 摄阴汤
'she'yin'shang 摄阴汤
'nie'yin'shang 摄阴汤
'bu'yang'xin'pi'tang 补养心脾汤
'bu'yang'xin'pi'shang 补养心脾汤
'cang'zhu'di'yu'tang 苍朮地榆汤
'cang'zhu'di'yu'shang 苍朮地榆汤
'cang'shu'di'yu'tang 苍朮地榆汤
'cang'shu'di'yu'shang 苍朮地榆汤
'wu'ji'wan 乌鸡丸
'li'ba'wei'lin'kou'fu'ye 利巴韦林口服液
'yan'suan'fu'gui'qin'pian 盐酸氟桂嗪片
'wu'gong'zhui'feng'gao 蜈蚣追风膏
'ya'tong 牙痛
'qu'shi'san 祛湿散
'xiao'er'zhi'xie'pian 小儿止泻片
'kan'li'ji'ji'wan 坎离既济丸
'nai'fu'xi'lin'na 萘夫西林钠
'chi'xiao'dou'dang'gui'san 赤小豆当归散
'yuan'can 园参
'yuan'shen 园参
'yuan'cen 园参
'yuan'san 园参
'bi'yuan'jiao'nang 鼻渊胶囊
'lv'mei'su'zhu'she'ye 氯霉素注射液
'te'fen'wei'ma'pian 特酚伪麻片
'bai'zhi'xi'xin'chui'bi'san 白芷细辛吹鼻散
'hong'ying'dan 红英丹
'le'er'kang'tang'jiang 乐儿康糖浆
'yue'er'kang'tang'jiang 乐儿康糖浆
'jing'jie'dan 荆芥丹
'ku'cao'gan'jun'er'lian'huo'jun'ke'li 枯草杆菌二联活菌颗粒
'ya'liu'suan'qing'na'jia'nai'kun 亚硫酸氢钠甲萘昆
'yang'xue'zi'yin'tang 养血滋阴汤
'yang'xue'zi'yin'shang 养血滋阴汤
'gui'ling'gao 龟苓膏
'xuan'feng'wan 宣风丸
'hui'fei'tong 惠菲通
'gan'shen'wan 肝肾丸
'qing'guo'zhi'sou'wan 青果止嗽丸
'zhu'shen'bi'xie'dan 助肾辟邪丹
'zhu'shen'pi'xie'dan 助肾辟邪丹
'chu'shen'bi'xie'dan 助肾辟邪丹
'chu'shen'pi'xie'dan 助肾辟邪丹
'zhong'feng'hui'chun'ke'li 中风回春颗粒
'yu'mei'ke'li 愈美颗粒
'ku'lian'zi'wan 苦楝子丸
'she'xiang'jie'gu'jiao'nang 麝香接骨胶囊
'qin'jiao'ren'shen'tang 秦艽人参汤
'ji'xue'teng'jiao'nang 鸡血藤胶囊
'ke'chuan'zhi'xue'tang 咳喘止血汤
'ke'chuan'zhi'xue'shang 咳喘止血汤
'an'lu'yin 安露饮
'an'lou'yin 安露饮
'xuan'hu'san 玄胡散
'peng'e'zhu'san 蓬莪术散
'peng'e'shu'san 蓬莪术散
'peng'wo'shu'san 蓬莪术散
'peng'wo'zhu'san 蓬莪术散
'shi'wei'pian 十维片
'yin'qiao'bai'hu'tang 银翘白虎汤
'mao'ji 毛鸡
'bie'pi'san 别脾散
'tiao'ba'zhang 跳八丈
'tao'ba'zhang 跳八丈
'xuan'shen'gou'teng'tang 玄参钩藤汤
'xuan'shen'gou'teng'shang 玄参钩藤汤
'xian'jue 线蕨
'dao'shou'xiang 到手香
'huo'du'yu'jie'zheng 火毒郁结证
'shi'wei'yu'quan'pian 十味玉泉片
'yin'jia'tang 银甲汤
'yin'jia'shang 银甲汤
'zhi'ma'huang 炙麻黄
'chong'cao'yang'shen'jiao'nang 虫草洋参胶囊
'zong'shi'che'ju'su 棕矢车菊素
'san'shi'shen'qi'wan 三石肾气丸
'huang'pao'guo 黄泡果
'bu'yin'yi'yang'tang 补阴益阳汤
'bu'yin'yi'yang'shang 补阴益阳汤
'fu'fang'xi'ling'jie'du'wan 复方西羚解毒丸
'fu'shui'cao 腹水草
'run'hou'tang 润喉汤
'run'hou'shang 润喉汤
'ting'li'jiang'xue'zhi'pian 葶苈降血脂片
'dao'zha'long 倒扎龙
'shan'bai'zhi 山白芷
'yun'nan'ye'dang'gui 云南野当归
'huo'xue'xu'ming'san 活血续命散
'pu'xiao 朴消
'piao'xiao 朴消
'po'xiao 朴消
'yi'niao'bing 遗尿病
'yan'suan'bei'na'pu'li'pian 盐酸贝那普利片
'yan'suan'bei'ne'pu'li'pian 盐酸贝那普利片
'yan'suan'bei'nei'pu'li'pian 盐酸贝那普利片
'huan'lin'xian'gan'lv'hua'na'zhu'she'ye 环磷腺苷氯化钠注射液
'yan'suan'ang'dan'si'qiong'pu'tao'tang'zhu'she'ye 盐酸昂丹司琼葡萄糖注射液
'fu'jie'shu'xi'ye 妇洁舒洗液
'jin'shui'ji'sheng'dan 金水济生丹
'zhen'qi'fu'zheng'pian 贞芪扶正片
'yu'sheng'di'wei 语声低微
'qi'duo'fu'ding'tang'jiang 齐多夫定糖浆
'chou'cao 臭草
'bo'xian'mao'cao 薄腺毛草
'bao'xian'mao'cao 薄腺毛草
'yu'ting'xiong'xie'zheng 瘀停胸胁证
'po'xue'wan 泼雪丸
'dang'gui'shao'yao'ke'li 当归芍药颗粒
'dian'nan'hang'zi'shao 滇南杭子梢
'dian'nan'hang'zi'sao 滇南杭子梢
'san'jiu'wei'tai'chong'ji 三九胃泰冲剂
'bu'shen'tiao'jing'tang'ji 补肾调经汤剂
'li'yi'ming 李医明
'pi'fu'bing'jie'chuang'bing 皮肤病疥疮病
'shu'xiong'ke'li 舒胸颗粒
'qian'ma 荨麻
'xun'ma 荨麻
'jiu'zi'di'huang'wan 九子地黄丸
'jiu'yin'shuang'jie'san 救阴双解散
'qing'dai'san 青黛散
'xu'sui'zi'wan 续随子丸
'he'xue'shun'qi'san 和血顺气散
'hai'ma'duo'bian'wan 海马多鞭丸
'chi'qing'ling 赤蜻蛉
'jin'shua'ba 金刷把
'bai'jing 白颈
