'bi'kang'de 鼻康德
'xiang'sha'qi'qi'tang 香砂七气汤
'xiang'sha'qi'qi'shang 香砂七气汤
'wei'ling'xian'san 葳灵仙散
'xin'wen'jie'biao'tang 辛温解表汤
'xin'wen'jie'biao'shang 辛温解表汤
'xin'cang'shen 心藏神
'xin'zang'shen 心藏神
'lu'dou 露兜
'lou'dou 露兜
'xi'zhu'yi'yi'wan 犀烛薏苡丸
'gui'jiang'wan 桂姜丸
'chen'sha'qu'tan'wan 辰砂祛痰丸
'qin'hua'shang'qing'wan 噙化上清丸
'chai'pi'zhang 豺皮樟
'xia'ma'jian'wan 虾蟆煎丸
'xia'mo'jian'wan 虾蟆煎丸
'ha'ma'jian'wan 虾蟆煎丸
'ha'mo'jian'wan 虾蟆煎丸
'ban'ji'wan 斑鸡丸
'xiao'ji'jian'er'pian 消积健儿片
'hai'zao'shi 海藻石
'hai'zao'dan 海藻石
'luo'bo'zi'wan 萝卜子丸
'luo'bu'zi'wan 萝卜子丸
'bu'shen'sheng'gan'yin 补肾生肝饮
'wu'jiu'mu 乌臼木
'luo'pi'na'wei'li'tuo'na'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'ne'wei'li'tuo'na'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'nei'wei'li'tuo'na'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'na'wei'li'tuo'ne'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'na'wei'li'tuo'nei'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'ne'wei'li'tuo'ne'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'nei'wei'li'tuo'ne'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'ne'wei'li'tuo'nei'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'luo'pi'nei'wei'li'tuo'nei'wei'ruan'jiao'nang 洛匹那韦利托那韦软胶囊
'sheng'wu'jiao'shui 生物胶水
'qu'yao'dan 驱疟丹
'ba'bu'ji 巴布剂
'yan'zhu'po'sun'feng'xie'cheng'xi'zheng 眼珠破损风邪乘袭证
'yan'zhu'po'sun'feng'xie'sheng'xi'zheng 眼珠破损风邪乘袭证
'di'ku'lou 地骷髅
'jing'luo'yu'zhi'zheng 经络瘀滞证
'ding'weng 丁翁
'zheng'weng 丁翁
'jia'chuan'mu'tong'san 家传木通散
'gan'yu'shen'kui 肝郁肾亏
'she'xiang'xin'tong'gao 麝香心痛膏
'bei'ting'wan 北庭丸
'wu'yun'san 乌云散
'zao'xin'tu 灶心土
'tong'bi'gao 通鼻膏
'ru'yun'bu'lou'zheng 乳晕部漏证
'nan'han'shui'shi 南寒水石
'na'han'shui'shi 南寒水石
'pi'sha'xiong'huang'san 砒砂雄黄散
'zhu'pao'wan 猪脬丸
'da'ye'tang 大冶汤
'da'ye'shang 大冶汤
'tai'ji'tong'tian'kou'fu'ye 太极通天口服液
'shen'yang'xu'zheng 肾阳虚证
'zhi'bi'jia 炙必甲
'yao'yang'guan 腰阳关
'huang'lian'jiao'nang 黄连胶囊
'san'wu'bei'ji'tang 三物备急汤
'san'wu'bei'ji'shang 三物备急汤
'chen'xiang'tian'ma'tang 沉香天麻汤
'chen'xiang'tian'ma'shang 沉香天麻汤
'duan'ji'de'xing'tang 段记德兴堂
'hai'kun'yin'tao'san'cao'gao 海昆银桃三草膏
'song'jie'san 松节散
're'du'shang'yin'zheng 热毒伤阴证
'jin'suan'ping'pian 金酸萍片
'shang'jiao'shou'tai'yin'fei'jing 上焦手太阴肺经
'dan'pi'fen 丹皮酚
'feng'tan'ma'mu'feng'shi'yao'jiu 风痰麻木风湿药酒
'mai'dong'shao'yao'dang'gui'pei 麦冬芍药当归配
'yin'xu'shen'kui'zheng 阴虚肾亏证
'yan'hou'bi'yu'san 咽喉碧玉散
'zhi'shi'bai'ji'san 枳实白及散
'jin'long'dan'ke'li 金龙丹颗粒
'ke'bi'qing 咳必清
'bai'mi 白蜜
'dang'gui'pu'yan'san 当归蒲延散
'hei'yang'can 黑阳参
'hei'yang'shen 黑阳参
'hei'yang'cen 黑阳参
'hei'yang'san 黑阳参
'ni'shi'se'tong 溺时涩痛
'niao'shi'se'tong 溺时涩痛
'pu'tao'ye 蒲桃叶
'pu'tao'xie 蒲桃叶
'sheng'shi'gao 生石膏
'ji'xue'teng'tang 鸡血藤汤
'ji'xue'teng'shang 鸡血藤汤
'zhang'ye'qi'ma 长叶乞麻
'xie'yun 血晕
'xue'yun 血晕
'xie'zi'qi 蝎子七
'tiao'wei'he'zhong'tang 调胃和中汤
'diao'wei'he'zhong'tang 调胃和中汤
'tiao'wei'hu'zhong'tang 调胃和中汤
'tiao'wei'huo'zhong'tang 调胃和中汤
'tiao'wei'he'zhong'shang 调胃和中汤
'diao'wei'hu'zhong'tang 调胃和中汤
'diao'wei'huo'zhong'tang 调胃和中汤
'diao'wei'he'zhong'shang 调胃和中汤
'tiao'wei'hu'zhong'shang 调胃和中汤
'tiao'wei'huo'zhong'shang 调胃和中汤
'diao'wei'hu'zhong'shang 调胃和中汤
'diao'wei'huo'zhong'shang 调胃和中汤
'li'bai'xi'fei'han'pian 沥白洗肺含片
'li'bai'xian'fei'han'pian 沥白洗肺含片
'huang'qi'ping'bu'tang 黄耆平补汤
'huang'qi'ping'bu'shang 黄耆平补汤
'dun'zhi'dan 顿止丹
'du'zhi'dan 顿止丹
'shen'rong'quan'chong'jiu 参茸全虫酒
'xiao'bo'jian'jia'yang'bian'ding'jiao'nang 小檗碱甲氧苄啶胶囊
'can'shu'er'xiang'tang 参术二香汤
'shen'shu'er'xiang'tang 参术二香汤
'cen'shu'er'xiang'tang 参术二香汤
'san'shu'er'xiang'tang 参术二香汤
'can'zhu'er'xiang'tang 参术二香汤
'shen'zhu'er'xiang'tang 参术二香汤
'cen'zhu'er'xiang'tang 参术二香汤
'san'zhu'er'xiang'tang 参术二香汤
'xi'mao'huo'shao'lan 细毛火烧兰
'tu'tie 吐铁
'yi'you'fen'san'ji 溢油分散剂
'da'pao'ye 大炮叶
'da'pao'xie 大炮叶
'xu'ming'feng'yin'tang 续命风引汤
'xu'ming'feng'yin'shang 续命风引汤
'qiu'guo'jin'cai 球果堇菜
'shi'hu'gao 石斛膏
'yan'suan'lai'an'suan'zhu'she'ye 盐酸赖氨酸注射液
'ren'gong'xiong'dan 人工熊胆
'yu'da 愈达
'ling'li'jia'san 鲮鲤甲散
'qing'shen'yi'huo'tang 清神益火汤
'qing'shen'yi'huo'shang 清神益火汤
'tai'yang'pi'zheng 太阳痞证
'xin'zhi'run'xia'wan 新制润下丸
'wei'zhi 胃汁
'ba'qia'ba'wei'tang 菝葜八味汤
'ba'qia'ba'wei'shang 菝葜八味汤
'zhu'wen'huo'yi'miao 猪瘟活疫苗
'jin'lian'wan 金连丸
'jiu'lian'tai'su'dan 久炼太素丹
'lian'du'san 敛毒散
'lian'dai'san 敛毒散
'wei'xu 胃虚
'wan'quan'wan 万全丸
'qu'shi'qing'gong'tang 祛湿清宫汤
'qu'shi'qing'gong'shang 祛湿清宫汤
'hua'shi'cao 化石草
'wei'xi'run'e'zao 胃喜润恶燥
'wei'xi'run'wu'zao 胃喜润恶燥
'e'san'qi 峨三七
'dun'ye'shu'yu 盾叶薯蓣
'dun'xie'shu'yu 盾叶薯蓣
'jing'yan'jian'pi'wan 经验健脾丸
'hun'shen'sui'tong'yin'zi 浑身碎痛饮子
'jing'tong'pian 颈痛片
'geng'tong'pian 颈痛片
'chuan'xiong'cha'tiao'kou'fu'ye 川芎茶调口服液
'chuan'xiong'cha'diao'kou'fu'ye 川芎茶调口服液
'sha'mu'pi 杉木皮
'shan'mu'pi 杉木皮
'fei'long'fen'shi'wan 蜚龙分师丸
'wei'zheng 痿证
'tong'mai'san 通脉散
'kou'fu'lun'zhuang'bing'du'huo'yi'miao 口服轮状病毒活疫苗
'jia'yuan'ni'bo 甲缘逆剥
'jia'yuan'ni'bao 甲缘逆剥
'wu'lin'hua'shi'wan'shui'mi'wan 五淋化石丸水蜜丸
'bei'qiang 背强
'bei'jiang 背强
'zha'sai 痄腮
'zhi'fu'zi 制附子
'zi'ning'gao 紫凝膏
'she'ling'chuang'bing 摄领疮病
'nie'ling'chuang'bing 摄领疮病
'bai'rui'jiao'nang 百蕊胶囊
'fu'fang'qing'yang'hua'lv'mei'pian 复方氢氧化铝镁片
'jie'xian'xing 界线型
'zhong'shen 重身
'chong'shen 重身
'bai'hu'jia'gui'zhi'tang 白虎加桂枝汤
'yan'yan'han'pian 咽炎含片
'liang'ding'san 凉顶散
'wei'xi'yuan 威喜圆
'zhi'bao'san'bian'jiu 至宝三鞭酒
'qu'yi'san 去翳散
'dai'huang'tan'suan'qing'na'pian 大黄碳酸氢钠片
'bie'zhi 鳖脂
'yan'dan'jiao'nang 延丹胶囊
'si'zhu'cou'er 丝竹凑耳
'ai'neng'luo'ge'lie'tong'pian 爱能罗格列酮片
'san'wei'du'zhong'jiu 三味杜仲酒
'jia'zhuang'xian'pian 甲状腺片
'xiao'er'an'ka'huang'min'ke'li 小儿氨咖黄敏颗粒
'xiao'er'an'ga'huang'min'ke'li 小儿氨咖黄敏颗粒
'pi'fei'qi'xu'pang'guang'shi'yue'zheng 脾肺气虚膀胱失约证
'feng'yan'guo'ke 凤眼果壳
'huang'jing'luo'bu'ma'cha 黄精罗布麻茶
'ming'men'huo'shuai'zheng 命门火衰证
'ming'men'huo'cui'zheng 命门火衰证
'zai'zao'zhi'bao'dan 再造至宝丹
'san'chen'san 三臣散
'er'qi'dan 二气丹
'zheng'shi'da'an'san 郑氏大安散
'yuan'hong'wai'jin'gu'shang'tong'tie 远红外筋骨伤痛贴
'chen'xiang'fen'xiao'wan 沉香分消丸
'kuo'bian'jia'mai'jue 阔边假脉蕨
'kuo'bian'jia'mo'jue 阔边假脉蕨
'xie'du'ru'ying'zheng 邪毒入营证
'da'zhi'wan 大志丸
'bei'mu'bai'zhi'nei'xiao'san 贝母白芷内消散
'xing'pi'yang'er'jiao'nang 醒脾养儿胶囊
'fei'zao'he 肥皂核
'fei'zao'hu 肥皂核
'she'zhi'an'hong 舌质暗红
'bei'mu'sheng'ma'bie'jia'tang 贝母升麻鳖甲汤
'bei'mu'sheng'ma'bie'jia'shang 贝母升麻鳖甲汤
'da'jiao'ai'tang 大胶艾汤
'dai'jiao'ai'tang 大胶艾汤
'tai'jiao'ai'tang 大胶艾汤
'da'jiao'yi'tang 大胶艾汤
'da'jiao'ai'shang 大胶艾汤
'dai'jiao'yi'tang 大胶艾汤
'tai'jiao'yi'tang 大胶艾汤
'dai'jiao'ai'shang 大胶艾汤
'tai'jiao'ai'shang 大胶艾汤
'da'jiao'yi'shang 大胶艾汤
'dai'jiao'yi'shang 大胶艾汤
'tai'jiao'yi'shang 大胶艾汤
'long'dan'xie'gan'tang 龙胆泻肝汤
'sheng'ming'xian'kang'jiao'nang 生命腺康胶囊
'mai'guan'yan'gao 脉管炎膏
'er'pi'xing 儿脾醒
'wan'shou'ju'ye 万寿菊叶
'wan'shou'ju'xie 万寿菊叶
'lu'dou'jin'xin 露兜竻心
'lu'dou'le'xin 露兜竻心
'lou'dou'jin'xin 露兜竻心
'lou'dou'le'xin 露兜竻心
'xiang'pu'wan 香朴丸
'xiang'piao'wan 香朴丸
'xiang'po'wan 香朴丸
'zhong'zheng'wan 中正丸
'liang'duo'se'dan 量多色淡
'chuan'xu'duan 川续断
'fen'tai'han'pian 酚酞含片
'di'long'fen 地龙粪
'shan'jue 扇蕨
'hua'yu'xiao'tong'san 化瘀消痛散
'she'gu'qi 蛇谷七
'jian'pi'dao'zhi'san 健脾导滞散
'san'huang'jie'du'tang 三黄解毒汤
'san'huang'jie'du'shang 三黄解毒汤
'yi'guan'jian 一贯煎
'bao'tuo 暴脱
'pu'tuo 暴脱
'mu'xu'gen 苜蓿根
'qing're'lei'zhong'cheng'yao 清热类中成药
'yin'yu'yin 茵芋饮
'kang'fu'ruan'gao 康妇软膏
'mei'lu'xiao'cuo'gao 玫芦消痤膏
'jian'jin'yi'sui'ke'li 健今益髓颗粒
'yi'mu'cao'jiu 益母草酒
'jiu'tiao'san 酒调散
'jiu'diao'san 酒调散
'zhuang'yao 壮药
'xi'yang'shen'jiao'nang 西洋参胶囊
'bi'guan'wan 闭管丸
'jin'mei'qing'shu'ke'li 金梅清暑颗粒
'jiu'tou'qing 九头青
'suan'jiu'fang 蒜酒方
'ji'ji'yin 济急饮
'ma'ti'zi'wan 马蹄紫菀
'chi'li'ga'wan 吃力伽丸
'chi'li'jia'wan 吃力伽丸
'chi'li'qie'wan 吃力伽丸
'cong'bai'gao 葱白膏
'qi'wei'gan'dan'qing'jiao'nang 七味肝胆清胶囊
'yin'mao'wei'ling'cai 银毛委陵菜
'shan'bai'zi 山稗子
'shan'bei'zi 山稗子
'er'bao'gao 儿宝膏
'chuan'bei'san 川贝散
'sheng'ma'bie'jia'tang 升麻鳖甲汤
'sheng'ma'bie'jia'shang 升麻鳖甲汤
'fa'di'lan'ke'luo'mi'fen 法地兰克罗米芬
'fa'de'lan'ke'luo'mi'fen 法地兰克罗米芬
'heng'li'yuan'shi'guan'yin'zuo'lian 亨利原始观音座莲
'qing'hao'wu'ji'wan 青蒿乌鸡丸
'ji'su'san'cha 鸡苏散茶
'song'jin'geng 宋金庚
'ling'yang'xie'bai'san 羚羊泻白散
'fei'ma'jin'dan 飞马金丹
'gou'shi'hua 狗屎花
'chuan'dong'zi 川栋子
'da'ye'ju'mai'cai 大叶苣荬菜
'ge'ye'tang 膈噎汤
'ge'ye'shang 膈噎汤
'ren'shen'hai'gou'wan 人参海狗丸
'chang'cheng'gan'mao'pian 长城感冒片
'san'huang'shu'ai'tang 三黄熟艾汤
'san'huang'shou'ai'tang 三黄熟艾汤
'san'huang'shu'yi'tang 三黄熟艾汤
'san'huang'shu'ai'shang 三黄熟艾汤
'san'huang'shou'yi'tang 三黄熟艾汤
'san'huang'shou'ai'shang 三黄熟艾汤
'san'huang'shu'yi'shang 三黄熟艾汤
'san'huang'shou'yi'shang 三黄熟艾汤
'chen'xiang'kuai'pi'wan 沉香快脾丸
'fu'fang'huan'lin'xian'an 复方环磷酰胺
'di'hui'mian'dou'tang 涤秽免痘汤
'di'hui'mian'dou'shang 涤秽免痘汤
'zeng'sun'huang'fu'zhi'zi'tang 增损皇甫栀子汤
'zeng'sun'huang'fu'zhi'zi'shang 增损皇甫栀子汤
'zhu'ye'huang'qin'tang 竹叶黄芩汤
'zhu'ye'huang'qin'shang 竹叶黄芩汤
'wu'dan'wan 五胆丸
'zhang'mu'you 樟木油
'fu'shen'ning'pian 复肾宁片
'yi'yan'zong'pian 异烟腙片
'yao'qian'shu 摇钱树
'xue'fen'zheng 血分证
'ta'ke'mo'si'ruan'gao 他克莫司软膏
'yu'shang'gao 愈伤膏
'sheng'jiang'xiao'bian'yin'zi 生姜小便饮子
'yan'hou'qing'hou'di'wan 咽喉清喉滴丸
'ju'cao 锯草
'wen'zhen 闻诊
'kuan'fei'wan 款肺丸
'dian'zi'ri'ji 电子日记
'zuo'yao 佐药
'chan'qian'shu 产钳术
'chan'qian'zhu 产钳术
'lian'ru'er'chen'tang 连茹二陈汤
'he'zhong'sheng'ji'san 和中生肌散
'hu'zhong'sheng'ji'san 和中生肌散
'huo'zhong'sheng'ji'san 和中生肌散
'fu'fang'xin'bu'ke'li 复方锌布颗粒
'xiao'fu'san 消腐散
'kang'gu'zeng'sheng'tang'jiang 抗骨增生糖浆
'dang'gui'huang'tang 当归黄汤
'guo'guo 蝈蝈
'yun'ning'ruan'gao 晕宁软膏
'yan'suan'duo'sai'ping'zhu'she'ye 盐酸多塞平注射液
'yan'suan'duo'se'ping'zhu'she'ye 盐酸多塞平注射液
'nei'xiao'kun'bu'san 内消昆布散
'xiong'xian'tai'kou'fu'rong'ye 胸腺肽口服溶液
'liu'niao'piao'ling'pian 硫鸟嘌呤片
'yin'chui'bing 阴吹病
'lao'lai'qing 老来青
'zhi'ke'pian 止咳片
'bian'bi 便闭
'pian'bi 便闭
'wei'ling'xian'gui'tang 葳灵仙桂汤
'wei'ling'xian'gui'shang 葳灵仙桂汤
'xuan'mai'gan'ju'ke'li 玄麦甘桔颗粒
'xuan'mai'gan'jie'ke'li 玄麦甘桔颗粒
're'ru'xue'shi 热入血室
're'ru'xie'shi 热入血室
'qu'feng'kai'bi'jiu 祛风开痹酒
'wei'tai'he'jiao'nang 胃泰和胶囊
'bai'yao'mo 白药末
'jing'kong'qi'ni'zheng 惊恐气逆证
'hui'hui'suan 回回蒜
'jian'bu'zhu'san 兼补煮散
'mei'suo'wei'ma'ke'li 美羧伪麻颗粒
'fa'guo'shuang'fei'ren'yao'shui 法国双飞人药水
'cha'ruo'yan'zhi'san 茶箬胭脂散
'qian'liu'kang'fu'san 纤瘤康复散
'xian'liu'kang'fu'san 纤瘤康复散
'lao'shao'nian 老少年
'ya'zhou'sai'zhi'ji 牙周塞治剂
'ya'zhou'se'zhi'ji 牙周塞治剂
'ren'shen'pu'tao'jiu 人参葡萄酒
'san'cha'hu'gen 三叉虎根
'yue'ji'hua'ye 月季花叶
'yue'ji'hua'xie 月季花叶
'can'bai'qu'xuan'fang 参白去癣方
'shen'bai'qu'xuan'fang 参白去癣方
'cen'bai'qu'xuan'fang 参白去癣方
'san'bai'qu'xuan'fang 参白去癣方
'huo'gui'san 活龟散
'huo'jun'san 活龟散
'huo'qiu'san 活龟散
'xiao'hu'ma 小胡麻
'gan'jiang'di'huang'san 干姜地黄散
'dao'tan'tang 倒痰汤
'dao'tan'shang 倒痰汤
'fei'huang'dan 飞黄丹
'tong'ru'zhen'ci 痛如针刺
'yan'suan'lin'ke'mei'su'ruan'gao 盐酸林可霉素软膏
'long'xie'jie'pian 龙血竭片
'fu'zi'li'zhong'pian 附子理中片
'ying'zhi'suan'mei 硬脂酸镁
'chuan'yao 川药
'huang'lian'si'wu'tang 黄连四物汤
'she'xiang'zhi'chuang'shuan 麝香痔疮栓
'wang'wu'xian'cao 王屋仙草
'di'su'mu 地苏木
'de'su'mu 地苏木
'he'fa 和法
'zao'ji 燥剂
'yong'da'tang'tian'xi'wan 永达堂天喜丸
'shao'jin 少津
'tian'zhu'huang'san 天竺黄散
'liang'jun'kou'fu'ye 亮菌口服液
'sha'fen'wei'ma'ju'jue'pian 沙芬伪麻咀嚼片
'gan'wang'pi'xu'zheng 肝旺脾虚证
'mai'luo'ning'kou'fu'ye 脉络宁口服液
'rou'cong'rong 肉苁蓉
'na'neng 纳能
'na'nai 纳能
'shi're'nei'xian'xin'bao 湿热内陷心包
'quan'dang'gui 全当归
'zhi'ke'pian 治咳片
'zhi'hai'pian 治咳片
'jin'fei'cao 金沸草
'tian'cui'chang'qing'an 天萃肠清安
'huang'hua'jin'cai 黄花堇菜
'jiu'ji'shi'di'shui 救急十滴水
'yuan'li'zhen 圆利针
'xu'huo'shang'yan'zheng 虚火上炎证
'shuang'xuan'guo 双悬果
'yin'qiao'er'gen'cha 银翘二根茶
'zhi'zhong'feng'ya'guan'jin'ji'fang 治中风牙关紧急方
'yang'mai'xiong'ji'dan'wan 养麦雄鸡胆丸
'yin'xu're'du'zheng 阴虚热毒证
'xian'dai'ming'zhong'yi'bai'xue'bing'zhi'liao'jue'ji 现代名中医白血病治疗绝技
'chai'hu'ge'gen'tang 柴胡葛根汤
'zhu'yang'tong'qi'tang 助阳通气汤
'zhu'yang'tong'qi'shang 助阳通气汤
'zi'shi'ying'wan 紫石英丸
'mu'ben'hu'zhi'zi'pi 木本胡枝子皮
'shui'you'ya'cao 水甴曱草
'shui'zha'ya'cao 水甴曱草
'shui'you'yue'cao 水甴曱草
'shui'zha'yue'cao 水甴曱草
'qiang'jin'zhuang'gu'wan 强筋壮骨丸
'ji'xiong 鸡胸
'yan'suan'pu'lu'ka'yin'pian 盐酸普鲁卡因片
'hu'can'ruan'gao 虎参软膏
'hu'shen'ruan'gao 虎参软膏
'hu'cen'ruan'gao 虎参软膏
'hu'san'ruan'gao 虎参软膏
'gan'yi'xin 肝怡欣
'qi'xiong'tang 七雄汤
'qi'xiong'shang 七雄汤
'fen'bi 粉萆
'xia'sang'ju'cha 夏桑菊茶
'jian'zhi 见知
'xian'zhi 见知
'di'kui'lv'an'duan'gan'jun'su'han'pian 地喹氯铵短杆菌素含片
'de'kui'lv'an'duan'gan'jun'su'han'pian 地喹氯铵短杆菌素含片
'xing'pi'kai'wei'ji 醒脾开胃剂
'pi'shen'kui'xu'zhuo'yin'shang'ni'zheng 脾肾亏虚浊阴上逆证
'zhu'she'yong'ji'an'tai'gan 注射用肌氨肽苷
'shen'rong'bai'bu'wan 参茸百补丸
'huang'qi'dang'gui'wan 黄耆当归丸
'fan'hun'tang 返魂汤
'fan'hun'shang 返魂汤
'he'gan'li'dan'ke'li 和肝利胆颗粒
'hu'gan'li'dan'ke'li 和肝利胆颗粒
'huo'gan'li'dan'ke'li 和肝利胆颗粒
'zhu'dan'zhi 猪胆汁
'gui'lu'bu'shen'jiao'nang 龟鹿补肾胶囊
'jun'lu'bu'shen'jiao'nang 龟鹿补肾胶囊
'qiu'lu'bu'shen'jiao'nang 龟鹿补肾胶囊
'zhen'zhu'lian'gen 珍珠莲根
'xun'jie'tang 熏解汤
'xun'xie'tang 熏解汤
'xun'jie'shang 熏解汤
'xun'xie'shang 熏解汤
'wai'yong'gao'ji 外用膏剂
'ba'bao'tui'yun'san 八宝推云散
'mi'tuo'seng'gao 密陀僧膏
'gu'sui'bu 骨碎补
'shui'fei'ji'su'pian 水飞蓟素片
'shui'an'ban 水案板
'zhu'dan'tang 猪胆汤
'zhu'dan'shang 猪胆汤
'zhi'yuan'zhi 炙远志
'wu'shao'san 乌梢散
'wu'sao'san 乌梢散
'ba'xian'jiu 八仙酒
'hua'zang'tang 滑脏汤
'hua'zang'shang 滑脏汤
'an'bian'xi'lin 氨苄西林
'quan'sheng'tang 全生汤
'quan'sheng'shang 全生汤
'run'fei'zhi'ke'jiao'nang 润肺止咳胶囊
're'xie'fan'fei'zheng 热邪犯肺证
'lv'mei'pi'lin 铝镁匹林
'qing'yan'li'wei'tang 清咽理胃汤
'qing'yan'li'wei'shang 清咽理胃汤
'hai'zao'you'ruan'jiao'nang 海藻油软胶囊
'hu'gan'san 狐肝散
'an'nao'niu'huang'pian 安脑牛黄片
'bu'xu'tong'yu'ke'li 补虚通瘀颗粒
'song'zi'dan 送子丹
'fu'mai'tang 复脉汤
'fu'mo'tang 复脉汤
'fu'mai'shang 复脉汤
'fu'mo'shang 复脉汤
'sheng'long'mu'ge 生龙牡各
'chu'shi'tang 除湿汤
'chu'shi'shang 除湿汤
'ye'he'wan 夜合丸
'ye'ge'wan 夜合丸
'da'hu'po'san 大琥珀散
'dai'hu'po'san 大琥珀散
'tai'hu'po'san 大琥珀散
'fu'fang'gou'teng'pian 复方钩藤片
'huang'yang'ning'fen'san'pian 黄杨宁分散片
'teng'xi'long 腾喜龙
'lu'rong'jiao'nang 鹿茸胶囊
'yang'er'ju 羊耳菊
'xiang'er'ju 羊耳菊
'jiang'cao 蒋草
'qiang'huo'gao 羌活膏
'liang'xue'kuan'chang'tang 凉血宽肠汤
'liang'xue'kuan'chang'shang 凉血宽肠汤
'qian'jin'gu'shen'wan 千金固肾丸
'qin'lv'su 芹绿素
'qin'lu'su 芹绿素
'duo'wei'yuan'su'pian 多维元素片
'zhi'shi'er'chen'tang 枳实二陈汤
'wu'di'dan'jiao'nang 无敌丹胶囊
'wen'yu'jin 温郁金
'bai'yi'xiao 白翳消
'ke'bi'qi 克比奇
'ke'bi'ji 克比奇
'niu'zhi'gan'kang'wan 牛至肝康丸
'fu'fang'li'xue'ping'an'ben'die'ding 复方利血平氨苯蝶啶
'hu'yan'gao 护眼膏
'shi'ba'wei'jie'yan'wan 十八味戒烟丸
'zhu'she'yong'ya'xi'er'qiu'ding'er'na 注射用亚锡二巯丁二钠
'zhu'she'yong'ya'xi'er'qiu'zheng'er'na 注射用亚锡二巯丁二钠
'nao'zhen'ning'ke'li 脑震宁颗粒
'qiang'jiu'san 羌九散
'peng'sha'zong 硼砂粽
'jiao'ai'nang 椒艾囊
'jiao'yi'nang 椒艾囊
'wen'yang'san'jie'fang 温阳散结方
'zhi'zi'xie'chi'tang 栀子薤豉汤
'zhi'zi'xie'chi'shang 栀子薤豉汤
'di'dan'cao 地胆草
'de'dan'cao 地胆草
'qi'feng'bing 脐风病
'shuang'jin'wei'yang'jiao'nang 双金胃疡胶囊
'dian'xian'ning 癫痫宁
'dian'jian'ning 癫痫宁
'lai'duo'fei 莱多菲
'su'tou 苏头
'lin'suan'zu'an'zhu'she'ye 磷酸组胺注射液
'long'chuan'hua'gen 龙船花根
'du'ru'qi'ying'zheng 毒入气营证
'dai'ru'qi'ying'zheng 毒入气营证
'long'feng'ye 龙凤液
'xiao'bu'xin'dan 小补心丹
'he'rong'san'jian'wan 和荣散坚丸
'hu'rong'san'jian'wan 和荣散坚丸
'huo'rong'san'jian'wan 和荣散坚丸
'kun'zhi'yu'fu'you 昆脂愈肤油
'ru'ning'jiao'nang 乳宁胶囊
'nan'fu'zu'he 男福组合
'chi'ji'gu'gao 赤麂骨膏
'ma'huang'jian'di'bi'ye 麻黄碱滴鼻液
'er'jia'shuang'gua'ge'lie'ben'niao'jiao'nang 二甲双胍格列本脲胶囊
'shao'mei'yin 烧梅饮
'tai'xi 太溪
'lai'an'suan'lin'suan'qing'gai'ke'li 赖氨酸磷酸氢钙颗粒
'ye'sheng'bo'he 野生薄荷
'zhen'zhu'lu'shui'cao 珍珠露水草
'zao'shen'cha 枣参茶
'duo'xi'yu'you 多烯鱼油
'liu'wei'fei'er'wan 六味肥儿丸
'gou'qi'tang 枸杞汤
'gou'ji'tang 枸杞汤
'gou'qi'shang 枸杞汤
'gou'ji'shang 枸杞汤
'an'wei'xing'pi'tang 安胃醒脾汤
'an'wei'xing'pi'shang 安胃醒脾汤
'she'she'feng 蛇舌风
'ning'xin'sheng'yi'san 宁心生一散
'yin'hua'jie'du'tang 银花解毒汤
'yin'hua'jie'du'shang 银花解毒汤
'mao'guan'zhong 毛贯众
'tou'luo'dan 透罗丹
'shen'xian'tai'yi'huo'duan'dan 神仙太一火煅丹
'chuan'xiong'fang'feng'san 川芎防风散
'yan'yun'can 盐云参
'yan'yun'shen 盐云参
'yan'yun'cen 盐云参
'yan'yun'san 盐云参
'xi'yu'chang'pu'tang 洗浴菖蒲汤
'xi'yu'chang'pu'shang 洗浴菖蒲汤
'sha'shi'lu'rong'cao 沙氏鹿茸草
'sha'zhi'lu'rong'cao 沙氏鹿茸草
'wu'fu'hua'du'dan 五福化毒丹
'wu'fu'hua'dai'dan 五福化毒丹
'she'fu 蛇符
'yi'fu 蛇符
'a'de'fu'wei'zhi'pian 阿德福韦酯片
'nong'suo'bu'zhong'yi'qi'wan 浓缩补中益气丸
'shang'qing'tang 上清汤
'shang'qing'shang 上清汤
'ju'hui'yin 橘茴饮
'chai'ling'tang 柴苓汤
'chai'ling'shang 柴苓汤
'mu'gua'he 木瓜核
'mu'gua'hu 木瓜核
'jin'bi'wan 金笔丸
'xie'jie'chang'fu'zheng 邪结肠腑证
'xu'jie'chang'fu'zheng 邪结肠腑证
'ya'jie'chang'fu'zheng 邪结肠腑证
'ye'jie'chang'fu'zheng 邪结肠腑证
'yu'jie'chang'fu'zheng 邪结肠腑证
'pi'wei'xu'han'zheng 脾胃虚寒证
'zi'jin 紫堇
'fu'fang'gan'an'suan'cha'jian'na'pian 复方甘氨酸茶碱钠片
'bu'zai'ci'li 不在此例
